Cushing OK Crude Oil Future Contract 1
https://www.eia.gov/dnav/pet/hist/LeafHandler.ashx?n=PET&s=RCLC1&f=M
18:53:54 GMT+0100 (British Summer Time)
Data source: U.S. Energy Information Administration
Month,Cushing OK Crude Oil Future Contract 1 Dollars per Barrel
Jun 2023,70.27
May 2023,71.62
Apr 2023,79.44
Mar 2023,73.37
Feb 2023,76.86
Jan 2023,78.16
Dec 2022,76.52
Nov 2022,84.39
Oct 2022,87.03
Sep 2022,83.8
Aug 2022,91.48
Jul 2022,99.39
Jun 2022,114.34
May 2022,109.26
Apr 2022,101.64
Mar 2022,108.26
Feb 2022,91.63
Jan 2022,82.98
Dec 2021,71.69
Nov 2021,79.18
Oct 2021,81.22
Sep 2021,71.55
Aug 2021,67.71
Jul 2021,72.43
Jun 2021,71.35
May 2021,65.16
Apr 2021,61.7
Mar 2021,62.36
Feb 2021,59.06
Jan 2021,52.1
Dec 2020,47.07
Nov 2020,41.13
Oct 2020,39.56
Sep 2020,39.63
Aug 2020,42.39
Jul 2020,40.77
Jun 2020,38.31
May 2020,28.53
Apr 2020,16.7
Mar 2020,30.45
Feb 2020,50.54
Jan 2020,57.53
Dec 2019,59.86
Nov 2019,57.12
Oct 2019,54.01
Sep 2019,56.88
Aug 2019,54.84
Jul 2019,57.54
Jun 2019,54.71
May 2019,60.77
Apr 2019,63.88
Mar 2019,58.17
Feb 2019,55.01
Jan 2019,51.38
Dec 2018,48.68
Nov 2018,56.6
Oct 2018,70.76
Sep 2018,70.07
Aug 2018,67.85
Jul 2018,70.74
Jun 2018,67.32
May 2018,69.89
Apr 2018,66.33
Mar 2018,62.87
Feb 2018,62.16
Jan 2018,63.55
Dec 2017,57.95
Nov 2017,56.54
Oct 2017,51.69
Sep 2017,49.88
Aug 2017,48.06
Jul 2017,46.68
Jun 2017,45.2
May 2017,48.54
Apr 2017,51.12
Mar 2017,49.67
Feb 2017,53.46
Jan 2017,52.61
Dec 2016,52.17
Nov 2016,45.87
Oct 2016,49.87
Sep 2016,45.23
Aug 2016,44.8
Jul 2016,44.8
Jun 2016,48.84
May 2016,46.8
Apr 2016,41.13
Mar 2016,37.96
Feb 2016,30.62
Jan 2016,31.78
Dec 2015,37.33
Nov 2015,42.92
Oct 2015,46.25
Sep 2015,45.47
Aug 2015,42.89
Jul 2015,50.93
Jun 2015,59.83
May 2015,59.37
Apr 2015,54.63
Mar 2015,47.85
Feb 2015,50.73
Jan 2015,47.33
Dec 2014,59.29
Nov 2014,75.81
Oct 2014,84.34
Sep 2014,93.03
Aug 2014,96.08
Jul 2014,102.39
Jun 2014,105.15
May 2014,101.8
Apr 2014,102.04
Mar 2014,100.51
Feb 2014,100.68
Jan 2014,94.86
Dec 2013,97.89
Nov 2013,93.93
Oct 2013,100.55
Sep 2013,106.24
Aug 2013,106.54
Jul 2013,104.7
Jun 2013,95.8
May 2013,94.8
Apr 2013,92.07
Mar 2013,92.96
Feb 2013,95.32
Jan 2013,94.83
Dec 2012,88.25
Nov 2012,86.73
Oct 2012,89.57
Sep 2012,94.56
Aug 2012,94.16
Jul 2012,87.93
